price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000,7420.0,4,2,3,1,0,0,0,1,2,1,2
12250000,8960.0,4,4,4,1,0,0,0,1,3,0,2
12250000,9960.0,3,2,2,1,0,1,0,0,2,1,1
12215000,7500.0,4,2,2,1,0,1,0,1,3,1,2
11410000,7420.0,4,1,2,1,1,1,0,1,2,0,2
10850000,7500.0,3,3,1,1,0,1,0,1,2,1,1
10150000,8580.0,4,3,4,1,0,0,0,1,2,1,1
10150000,10500.0,5,3,2,1,0,0,0,0,0,0,0
9870000,8100.0,4,1,2,1,1,1,0,1,2,1,2
9800000,5750.0,3,2,4,1,1,0,0,1,1,1,0
9800000,10500.0,3,1,2,1,0,1,0,1,2,1,2
9681000,6000.0,4,3,2,1,1,1,1,0,2,0,1
9310000,6550.0,4,2,2,1,0,0,0,1,1,1,1
9240000,3500.0,4,2,2,1,0,0,1,0,2,0,2
9240000,7800.0,3,2,2,1,0,0,0,0,0,1,1
9100000,6000.0,4,1,2,1,0,1,0,0,2,0,1
9100000,6600.0,4,2,2,1,1,1,0,1,1,1,0
8960000,8500.0,3,2,4,1,0,0,0,1,2,0,2
8890000,4600.0,3,2,2,1,1,0,0,1,2,0,2
8855000,6420.0,3,2,2,1,0,0,0,1,1,1,1
8750000,4320.0,3,1,2,1,0,1,1,0,2,0,1
8680000,7155.0,3,2,1,1,1,1,0,1,2,0,0
8645000,8050.0,3,1,1,1,1,1,0,1,1,0,2
8645000,4560.0,3,2,2,1,1,1,0,1,1,0,2
8575000,8800.0,3,2,2,1,0,0,0,1,2,0,2
8540000,6540.0,4,2,2,1,1,1,0,1,2,1,2
8463000,6000.0,3,2,4,1,1,1,0,1,0,1,1
8400000,8875.0,3,1,1,1,0,0,0,0,1,0,1
8400000,7950.0,5,2,2,1,0,1,1,0,2,0,0
8400000,5500.0,4,2,2,1,0,1,0,1,1,1,1
8400000,7475.0,3,2,4,1,0,0,0,1,2,0,0
8400000,7000.0,3,1,4,1,0,0,0,1,2,0,1
8295000,4880.0,4,2,2,1,0,0,0,1,1,1,2
8190000,5960.0,3,3,2,1,1,1,0,0,1,0,0
8120000,6840.0,5,1,2,1,1,1,0,1,1,0,2
8080940,7000.0,3,2,4,1,0,0,0,1,2,0,2
8043000,7482.0,3,2,3,1,0,0,1,0,1,1,2
7980000,9000.0,4,2,4,1,0,0,0,1,2,0,2
7962500,6000.0,3,1,4,1,1,0,0,1,2,0,0
7910000,6000.0,4,2,4,1,0,0,0,1,1,0,1
7875000,6550.0,3,1,2,1,0,1,0,1,0,1,2
7840000,6360.0,3,2,4,1,0,0,0,1,0,1,2
7700000,6480.0,3,2,4,1,0,0,0,1,2,0,0
7700000,6000.0,4,2,4,1,0,0,0,0,2,0,1
7560000,6000.0,4,2,4,1,0,0,0,1,1,0,2
7560000,6000.0,3,2,3,1,0,0,0,1,0,0,1
7525000,6000.0,3,2,4,1,0,0,0,1,1,0,2
7490000,6600.0,3,1,4,1,0,0,0,1,3,1,2
7455000,4300.0,3,2,2,1,0,1,0,0,1,0,0
7420000,7440.0,3,2,1,1,1,1,0,1,0,1,1
7420000,7440.0,3,2,4,1,0,0,0,0,1,1,0
7420000,6325.0,3,1,4,1,0,0,0,1,1,0,0
7350000,6000.0,4,2,4,1,1,0,0,1,1,0,2
